,Builder Name,City,Locality,Property Type,Price in Crores,Area in Sqft,Construction Status,Age of property
5042,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.3,1650,New,3 - 4 years old
5043,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.28,1601,New,3 - 4 years old
5044,FuturelandAGENT0,Hyderabad,Ramoji Film city,"Residential PlotRamoji Film city, Hyderabad",0.201,1650,New,1 open sides
5045,FuturelandAGENT0,Hyderabad,Shadnagar,"Residential PlotShadnagar, Hyderabad",0.1655,1601,New,1 open sides
5046,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.25,1260,New,3 - 4 years old
5047,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.3605,1800,New,3 - 4 years old
5048,FuturelandAGENT0,Hyderabad,Ramoji Film city,"Residential PlotRamoji Film city, Hyderabad",0.16,1350,New,1 open sides
5049,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.3544,1803,New,3 - 4 years old
5050,FuturelandAGENT0,Hyderabad,Taramatipet,"Residential PlotTaramatipet, Hyderabad",0.3599,1802,New,
5051,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.28859999999999997,1360,New,3 - 4 years old
5052,FuturelandAGENT0,Hyderabad,Sadashivpet,"Residential PlotSadashivpet, Hyderabad",0.22440000000000002,1801,New,4 - 5 years old
5053,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.2965,1305,New,3 - 4 years old
5054,FuturelandAGENT0,Hyderabad,Sadashivpet,"Residential PlotSadashivpet, Hyderabad",0.1984,1325,New,4 - 5 years old
5055,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.251,1350,New,3 - 4 years old
5056,FuturelandAGENT0,Hyderabad,Taramatipet,"Residential PlotTaramatipet, Hyderabad",0.366,1825,New,1 open sides
5057,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.2577,1326,New,3 - 4 years old
5058,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.2566,1660,New,3 - 4 years old
5059,FuturelandAGENT0,Hyderabad,Taramatipet,"Residential PlotTaramatipet, Hyderabad",0.26,1655,New,1 open sides
5060,FuturelandAGENT0,Hyderabad,Sadashivpet,"Residential PlotSadashivpet, Hyderabad",0.2021,1355,New,4 - 5 years old
5061,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.3569,1805,New,3 - 4 years old
5062,FuturelandAGENT0,Hyderabad,Ramoji Film city,"Residential PlotRamoji Film city, Hyderabad",0.23,1801,New,1 open sides
5063,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.36119999999999997,1810,New,3 - 4 years old
5064,FuturelandAGENT0,Hyderabad,Taramatipet,"Residential PlotTaramatipet, Hyderabad",0.2584,1360,New,1 open sides
5065,FuturelandAGENT0,Hyderabad,Abdullapurmet,"Residential PlotAbdullapurmet, Hyderabad",0.1865,1640,New,6 - 7 years old
5066,FuturelandAGENT0,Hyderabad,Ramoji Film city,"Residential PlotRamoji Film city, Hyderabad",0.19640000000000002,1650,New,
5067,FuturelandAGENT0,Hyderabad,Ramoji Film city,"Residential PlotRamoji Film city, Hyderabad",0.22010000000000002,1800,New,1 open sides
5068,FuturelandAGENT0,Hyderabad,Taramatipet,"Residential PlotTaramatipet, Hyderabad",0.3006,1650,New,1 open sides
5069,FuturelandAGENT0,Hyderabad,Taramatipet,"Residential PlotTaramatipet, Hyderabad",0.25,1260,New,1 open sides
5070,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.345,1700,New,3 - 4 years old
5071,FuturelandAGENT0,Hyderabad,Ramoji Film city,"Residential PlotRamoji Film city, Hyderabad",0.20120000000000002,1700,New,1 open sides
5072,FuturelandAGENT0,Hyderabad,Sadashivpet,"Residential PlotSadashivpet, Hyderabad",0.2026,1801,New,4 - 5 years old
5073,FuturelandAGENT0,Hyderabad,Ramoji Film city,"Residential PlotRamoji Film city, Hyderabad",0.2254,1801,New,1 open sides
5074,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.261,1720,New,3 - 4 years old
5075,FuturelandAGENT0,Hyderabad,Taramatipet,"Residential PlotTaramatipet, Hyderabad",0.35609999999999997,1801,New,
5076,FuturelandAGENT0,Hyderabad,Taramatipet,"Residential PlotTaramatipet, Hyderabad",0.29719999999999996,1503,New,1 open sides
5077,FuturelandAGENT0,Hyderabad,Taramatipet,"Residential PlotTaramatipet, Hyderabad",0.355,1801,New,1 open sides
5078,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.3566,1802,New,1 open sides
5079,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.3566,1802,New,3 - 4 years old
5080,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.2994,1655,New,1 open sides
5081,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.3567,1801,New,1 open sides
5082,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.36200000000000004,1802,New,3 - 4 years old
5083,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.29960000000000003,1654,New,1 open sides
5084,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.29969999999999997,1655,New,1 open sides
5085,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.3578,1800,New,1 open sides
5086,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.2998,1654,New,1 open sides
5087,FuturelandAGENT0,Hyderabad,Ramoji Film city,"Residential PlotRamoji Film city, Hyderabad",0.21559999999999999,1805,New,1 open sides
5088,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.29719999999999996,1610,New,3 - 4 years old
5089,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.267,1350,New,3 - 4 years old
5090,FuturelandAGENT0,Hyderabad,Ramoji Film city,"Residential PlotRamoji Film city, Hyderabad",0.21,1800,New,1 open sides
5091,FuturelandAGENT0,Hyderabad,Taramatipet,"Residential PlotTaramatipet, Hyderabad",0.3554,1800,New,1 open sides
5092,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.3567,1802,New,3 - 4 years old
5093,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.35979999999999995,1801,New,1 open sides
5094,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.3599,1801,New,3 - 4 years old
5095,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.2956,1652,New,1 open sides
5096,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.26,1655,New,3 - 4 years old
5097,FuturelandAGENT0,Hyderabad,Sadashivpet,"Residential PlotSadashivpet, Hyderabad",0.195,1350,New,4 - 5 years old
5098,FuturelandAGENT0,Hyderabad,Sadashivpet,"Residential PlotSadashivpet, Hyderabad",0.1866,1400,New,4 - 5 years old
5099,FuturelandAGENT0,Hyderabad,Taramatipet,"Residential PlotTaramatipet, Hyderabad",0.3577,1802,New,1 open sides
5100,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.3528,1750,New,3 - 4 years old
